ID,SMILES,Activities,Core,Core_MolSHAP,R1,R1_MolSHAP,R2,R2_MolSHAP,R3,R3_MolSHAP,R4,R4_MolSHAP,R5,R5_MolSHAP
0,CCN1C(=O)C(NC(=O)c2ccccc2)C(c2ccc(F)cc2F)c2c(CN3CCCCC3)nn(-c3cccc(C)c3)c21,7.1648712158203125,O=C1C(N[*:5])C([*:4])c2c([*:3])nn([*:2])c2N1[*:1],0.0,CC[*:1],0.15043917362045195,Cc1cccc([*:2])c1,-0.35127149518330875,C1CCN(C[*:3])CC1,0.5284783751876266,Fc1ccc([*:4])c(F)c1,0.7599406083424884,O=C(c1ccccc1)[*:5],1.6844608058100163
1,C=CS(=O)(=O)NCc1nn(CCC)c2c1C(c1ccc(F)cc1F)C(NC(=O)c1cccc(C(F)(F)F)c1)C(=O)N2CCO,7.786376953125,O=C1C(N[*:5])C([*:4])c2c([*:3])nn([*:2])c2N1[*:1],0.0,OCC[*:1],0.6396529381091778,CCC[*:2],0.0,C=CS(=O)(=O)NC[*:3],0.5295878422113109,Fc1ccc([*:4])c(F)c1,0.7599406083424884,O=C(c1cccc(C(F)(F)F)c1)[*:5],1.8855750825670032
2,CN1C(=O)C(NC(=O)c2cccc(C(F)(F)F)c2)C(c2ccc(F)cc2F)c2c(CN3CCCCC3)nn(-c3ccccc3)c21,7.8300628662109375,O=C1C(N[*:5])C([*:4])c2c([*:3])nn([*:2])c2N1[*:1],0.0,C[*:1],0.1757170738318027,c1ccc([*:2])cc1,0.019977828343709394,C1CCN(C[*:3])CC1,0.5284783751876266,Fc1ccc([*:4])c(F)c1,0.7599406083424884,O=C(c1cccc(C(F)(F)F)c1)[*:5],1.8855750825670032
3,CCN1C(=O)C(NC(=O)c2cccc(C(F)(F)F)c2)C(c2ccc(F)c([N+](=O)[O-])c2)c2c(Cn3nnc(N)n3)nn(-c3ccccc3C)c21,6.450103759765625,O=C1C(N[*:5])C([*:4])c2c([*:3])nn([*:2])c2N1[*:1],0.0,CC[*:1],0.15043917362045195,Cc1ccccc1[*:2],-0.2335118083953857,Nc1nnn(C[*:3])n1,0.4665671690010727,O=[N+]([O-])c1cc([*:4])ccc1F,0.5691048526763915,O=C(c1cccc(C(F)(F)F)c1)[*:5],1.8855750825670032
4,CCN1C(=O)C(NC(=O)c2cccc(Br)c2)C(c2ccc(F)cc2)c2c(Cn3nnnc3N)nn(-c3ccccc3)c21,6.806854248046875,O=C1C(N[*:5])C([*:4])c2c([*:3])nn([*:2])c2N1[*:1],0.0,CC[*:1],0.15043917362045195,c1ccc([*:2])cc1,0.019977828343709394,Nc1nnnn1C[*:3],0.43053847889841323,Fc1ccc([*:4])cc1,0.3996398401260376,O=C(c1cccc(Br)c1)[*:5],1.8003257226252902
5,CCCn1nc(CNCCCNC(=O)OC(C)(C)C)c2c1N(CC)C(=O)C(NC(=O)c1cccc(C3CC3)c1)C2c1ccc(F)cc1,6.6455535888671875,O=C1C(N[*:5])C([*:4])c2c([*:3])nn([*:2])c2N1[*:1],0.0,CC[*:1],0.15043917362045195,CCC[*:2],0.0,CC(C)(C)OC(=O)NCCCNC[*:3],0.3854152655895842,Fc1ccc([*:4])cc1,0.3996398401260376,O=C(c1cccc(C2CC2)c1)[*:5],1.6880081176757815
6,C=CS(=O)(=O)NCc1nn(CCC)c2c1C(c1ccc(Br)cc1)C(NC(=O)c1cccc(C(F)(F)F)c1)C(=O)N2CCO,6.81744384765625,O=C1C(N[*:5])C([*:4])c2c([*:3])nn([*:2])c2N1[*:1],0.0,OCC[*:1],0.6396529381091778,CCC[*:2],0.0,C=CS(=O)(=O)NC[*:3],0.5295878422113109,Brc1ccc([*:4])cc1,0.004507551193237447,O=C(c1cccc(C(F)(F)F)c1)[*:5],1.8855750825670032
7,O=C(NC1C(=O)N(CCF)c2c(c(CN3CCCCC3)nn2-c2ccccc2)C1c1ccc(F)cc1Br)c1cccc(Br)c1,7.0260009765625,O=C1C(N[*:5])C([*:4])c2c([*:3])nn([*:2])c2N1[*:1],0.0,FCC[*:1],0.18428222128430244,c1ccc([*:2])cc1,0.019977828343709394,C1CCN(C[*:3])CC1,0.5284783751876266,Fc1ccc([*:4])c(Br)c1,0.8025055789947508,O=C(c1cccc(Br)c1)[*:5],1.8003257226252902
8,CCN1C(=O)C(NC(=O)c2cccc(C(F)(F)F)c2)C(c2ccc(F)c([N+](=O)[O-])c2)c2c(CN3CCNCC3)nn(-c3ccccc3)c21,7.1629180908203125,O=C1C(N[*:5])C([*:4])c2c([*:3])nn([*:2])c2N1[*:1],0.0,CC[*:1],0.15043917362045195,c1ccc([*:2])cc1,0.019977828343709394,C1CN(C[*:3])CCN1,0.43832600675983185,O=[N+]([O-])c1cc([*:4])ccc1F,0.5691048526763915,O=C(c1cccc(C(F)(F)F)c1)[*:5],1.8855750825670032
9,CCCn1nc(CN2CCC(C)CC2)c2c1N(CCO)C(=O)C(NC(=O)c1ccccc1)C2c1ccc(F)cc1F,7.91693115234375,O=C1C(N[*:5])C([*:4])c2c([*:3])nn([*:2])c2N1[*:1],0.0,OCC[*:1],0.6396529381091778,CCC[*:2],0.0,CC1CCN(C[*:3])CC1,0.6098970884158287,Fc1ccc([*:4])c(F)c1,0.7599406083424884,O=C(c1ccccc1)[*:5],1.6844608058100163
